id,name,taxid,gender,dateofbirth,status,externalcode,isenriched,enrichedat,enrichedbt,createdat,createdby,updatedat,updatedby,ID_Pedido,Data_Pedido,Nome_do_Item,Quantidade,Categoria_Comida
2213,Lucas Teixeira,851.893.161-46,Female,1991-10-21,inactive,VL7OVT8VUI,True,2025-10-31T02:37:52,import_script,2025-10-07T00:00:00,import_script,2025-10-15T09:12:28,ops_team,1014,07/10/2025,Ravioli de Queijo,1,Massas
2214,Patrícia Rocha,663.062.702-30,Male,1979-10-18,active,F8UWTRGZN1,False,,,2025-10-29T00:00:00,system,2025-11-09T14:41:50,system,1015,29/10/2025,Pizza Mussarela,2,Pizza
2215,Patrícia Barbosa,028.476.300-43,Female,1975-12-10,pending,5PS4Y2REFX,False,,,2025-11-04T00:00:00,maria,2025-11-09T15:06:24,import_script,1016,04/11/2025,Nhoque ao Sugo,3,Massas
2216,Patrícia Lima,225.553.949-19,Female,1967-07-11,inactive,JQZL3VA7VE,True,2025-09-15T16:43:49,maria,2025-10-31T00:00:00,import_script,2025-11-09T15:00:51,data_engineer,1017,31/10/2025,Nhoque ao Sugo,3,Massas
2217,Larissa Teixeira,318.603.810-42,Male,1969-01-08,inactive,8IV44K8GFR,False,,,2025-10-15T00:00:00,data_engineer,2025-10-30T18:27:41,import_script,1018,15/10/2025,Lasanha Bolonhesa,2,Massas
2218,Fernanda Dias,235.748.433-50,Female,1962-08-23,active,NXI8G0Q21U,False,,,2025-10-21T00:00:00,data_engineer,2025-11-06T12:46:25,data_engineer,1019,21/10/2025,Pizza Grande Portuguesa,1,Pizza
2219,Mariana Araujo,578.991.425-66,Male,2002-09-16,pending,I5AVRZEW0B,False,,,2025-10-07T00:00:00,system,2025-11-01T02:53:48,joao,1020,07/10/2025,Ravioli de Queijo,3,Massas
2220,Mariana Mendonça,222.983.771-80,Male,2000-01-09,active,45ZMKEWDNJ,True,2025-10-08T01:38:21,system,2025-10-21T00:00:00,ops_team,2025-11-09T15:19:43,ops_team,1021,21/10/2025,Tiramisu,1,Sobremesa
2221,Gabriela Silva,623.862.664-96,Female,1988-05-19,inactive,WJXXGCX5HJ,True,2025-08-12T14:43:32,ops_team,2025-10-06T00:00:00,system,2025-10-26T14:48:59,import_script,1022,06/10/2025,Nhoque ao Sugo,3,Massas
2222,Mateus Gomes,433.592.317-44,Male,1990-08-02,active,6TFD08WXGA,True,2025-10-30T14:04:46,import_script,2025-10-19T00:00:00,import_script,2025-10-28T05:09:50,maria,1023,19/10/2025,Pizza Grande Calabresa,2,Pizza
2223,Gustavo Moreira,480.902.293-60,Female,1965-10-21,inactive,BI68EOTWGI,False,,,2025-10-10T00:00:00,data_engineer,2025-10-28T04:48:35,ops_team,1024,10/10/2025,Sorvete Artesanal,2,Sobremesa
2224,Sofia Pereira,572.540.322-82,Male,2002-02-04,active,JD3IAQY3P9,False,,,2025-10-31T00:00:00,joao,2025-11-09T15:12:39,maria,1025,31/10/2025,Pizza Grande Calabresa,1,Pizza
2225,Luís Moraes,987.630.880-65,Male,1999-11-07,pending,SQ5LH1RSVW,True,2025-10-29T08:13:14,joao,2025-10-28T00:00:00,ops_team,2025-11-09T15:10:15,maria,1026,28/10/2025,Nhoque ao Sugo,3,Massas
2226,Camila Barbosa,271.021.636-28,Female,1968-11-04,inactive,H3LQJ9GGO9,True,2025-09-23T15:56:55,maria,2025-10-30T00:00:00,ops_team,2025-11-09T15:23:28,ops_team,1027,30/10/2025,Espaguete ao Alho e oleo,3,Massas
2227,Bruno Pereira,971.909.025-70,Female,1985-06-02,active,6Q6PPLFWHS,True,2025-11-03T06:42:30,data_engineer,2025-10-18T00:00:00,import_script,2025-11-09T15:28:38,system,1028,18/10/2025,Pizza Mussarela,3,Pizza
2228,Gabriela Gomes,817.738.730-93,Female,1996-07-09,active,4PPPHEFEGE,True,2025-10-26T23:22:51,maria,2025-10-21T00:00:00,maria,2025-10-28T09:16:34,data_engineer,1029,21/10/2025,Ravioli de Queijo,3,Massas
2229,Patrícia Moraes,942.802.533-89,Female,1980-06-23,active,L7WVDQ428I,True,2025-09-20T00:34:14,joao,2025-11-04T00:00:00,joao,2025-11-09T15:07:58,data_engineer,1030,04/11/2025,Sorvete Artesanal,2,Sobremesa
2230,Fernanda Cardoso,087.884.288-45,Female,1962-01-17,inactive,0VEL86GGMD,False,,,2025-10-07T00:00:00,joao,2025-10-24T07:25:59,data_engineer,1031,07/10/2025,Pizza Grande Margherita,2,Pizza
2231,Pedro Pereira,661.602.114-53,Male,1972-09-14,inactive,HE5OMMZAVC,True,2025-09-28T10:52:33,ops_team,2025-10-14T00:00:00,ops_team,2025-10-18T19:43:06,import_script,1032,14/10/2025,Lasanha Bolonhesa,1,Massas
2232,Patrícia Mendonça,282.729.855-88,Female,2000-05-04,active,PGYKJHJFLG,False,,,2025-10-06T00:00:00,ops_team,2025-10-10T11:29:46,ops_team,1033,06/10/2025,Sorvete Artesanal,1,Sobremesa
2233,Carlos Moreira,045.059.669-90,Female,1962-07-12,active,4MDVQ59EJ7,False,,,2025-10-17T00:00:00,ops_team,2025-11-09T03:38:56,joao,1034,17/10/2025,Pizza Frango com Catupiry,1,Pizza
2234,Camila Ribeiro,334.497.020-86,Male,1959-05-02,active,YT0NQFSVKP,False,,,2025-10-30T00:00:00,system,2025-11-09T14:47:00,ops_team,1035,30/10/2025,Nhoque ao Sugo,2,Massas
2235,Gabriela Pereira,604.103.452-54,Male,1961-03-26,pending,SV57V1PJB8,False,,,2025-10-19T00:00:00,system,2025-10-24T11:20:20,joao,1036,19/10/2025,Pizza Mussarela,3,Pizza
2236,Luís Cardoso,589.400.741-28,Male,1985-04-11,inactive,NV2PL6JGBR,True,2025-08-18T21:50:49,import_script,2025-10-31T00:00:00,joao,2025-11-09T15:30:00,ops_team,1037,31/10/2025,Nhoque ao Sugo,3,Massas
2237,Fernanda Pereira,990.096.096-30,Male,2003-07-25,active,Z8P2CP4Y85,False,,,2025-10-26T00:00:00,data_engineer,2025-11-09T15:38:11,system,1038,26/10/2025,Pizza Frango com Catupiry,2,Pizza
2238,Sofia Souza,309.528.064-24,Female,1964-10-09,active,ERQPHI5PH3,True,2025-09-22T19:47:35,ops_team,2025-10-29T00:00:00,data_engineer,2025-11-09T14:58:34,maria,1039,29/10/2025,Nhoque ao Sugo,3,Massas
2239,Larissa Moraes,011.439.380-32,Male,2000-04-19,pending,8NA6SIHLZ3,False,,,2025-10-18T00:00:00,import_script,2025-10-24T17:29:14,ops_team,1040,18/10/2025,Pizza Mussarela,3,Pizza
2240,Sofia Almeida,087.588.470-58,Male,1996-01-28,inactive,XCSI3VX0HM,False,,,2025-10-15T00:00:00,ops_team,2025-11-03T10:21:48,data_engineer,1041,15/10/2025,Sorvete Artesanal,2,Sobremesa
2241,Ana Ribeiro,608.055.893-49,Female,1973-11-23,pending,JZVPVYGME4,False,,,2025-10-17T00:00:00,data_engineer,2025-10-17T00:38:43,system,1042,17/10/2025,Pizza Frango com Catupiry,1,Pizza
2242,Thiago Fernandes,206.670.837-04,Female,2003-10-17,inactive,QQFATW0PKK,False,,,2025-10-07T00:00:00,maria,2025-10-14T14:37:24,system,1043,07/10/2025,Mousse de Chocolate,3,Sobremesa
2243,Rafael Souza,979.802.051-67,Female,1972-09-01,inactive,L7JFT9ONTP,False,,,2025-10-21T00:00:00,ops_team,2025-11-06T08:16:58,joao,1044,21/10/2025,Pizza Grande Portuguesa,1,Pizza
2244,Pedro Moreira,105.053.163-19,Female,1965-03-28,pending,NF69H0HYRF,False,,,2025-10-09T00:00:00,data_engineer,2025-10-15T02:14:09,ops_team,1045,09/10/2025,Ravioli de Queijo,3,Massas
2245,Mariana Costa,506.262.429-66,Male,1965-08-22,active,ZXO0WW8YQS,False,,,2025-10-27T00:00:00,joao,2025-10-29T05:28:47,import_script,1046,27/10/2025,Lasanha Bolonhesa,3,Massas
2246,Gustavo Dias,981.720.791-12,Female,2007-05-25,active,Z3TRJACXKZ,False,,,2025-10-18T00:00:00,joao,2025-10-27T02:11:20,import_script,1047,18/10/2025,Lasanha Bolonhesa,1,Massas
2247,Larissa Teixeira,317.024.906-83,Prefer not to say,2001-09-18,active,1L2GRZKL8P,True,2025-11-07T11:25:42,ops_team,2025-10-19T00:00:00,maria,2025-11-02T06:54:15,system,1048,19/10/2025,Pudim de Leite,3,Sobremesa
2248,Camila Fernandes,574.501.163-32,Male,1976-03-05,inactive,5ISUHISNDA,True,2025-09-02T19:49:00,import_script,2025-10-16T00:00:00,maria,2025-10-17T16:31:21,ops_team,1049,16/10/2025,Pizza Mussarela,3,Pizza
2249,Pedro Teixeira,178.611.190-37,Female,1976-02-02,pending,MN66NP28ZZ,False,,,2025-10-15T00:00:00,import_script,2025-11-09T15:01:56,ops_team,1050,15/10/2025,Pizza Mussarela,1,Pizza
2250,Maria Cardoso,156.964.207-00,Male,1991-06-11,pending,LJXNYX4L7Z,False,,,2025-10-19T00:00:00,system,2025-11-09T15:20:59,maria,1051,19/10/2025,Lasanha Bolonhesa,2,Massas
2251,Bruno Almeida,634.136.715-65,Male,1972-02-13,inactive,YNI0FM2RNS,False,,,2025-10-25T00:00:00,system,2025-10-27T09:33:14,ops_team,1052,25/10/2025,Pizza Grande Portuguesa,1,Pizza
2252,Thiago Oliveira,225.549.807-74,Male,1960-03-17,inactive,JCMMXZGP89,False,,,2025-10-31T00:00:00,maria,2025-11-09T15:03:16,system,1053,31/10/2025,Nhoque ao Sugo,2,Massas
2253,Maria Souza,523.102.374-95,Male,1958-08-03,inactive,WYVK590NFF,False,,,2025-10-10T00:00:00,import_script,2025-10-28T01:35:33,joao,1054,10/10/2025,Pizza Grande Margherita,2,Pizza
2254,Ana Fernandes,969.412.344-82,Female,1985-08-28,inactive,C9G7V9OS4G,False,,,2025-10-30T00:00:00,ops_team,2025-10-30T05:41:40,data_engineer,1055,30/10/2025,Ravioli de Queijo,2,Massas
2255,Patrícia Fernandes,539.807.005-33,Male,1972-01-12,inactive,YG1UPZPKLX,False,,,2025-10-16T00:00:00,import_script,2025-11-07T22:16:23,system,1056,16/10/2025,Ravioli de Queijo,1,Massas
2256,Lucas Teixeira,480.773.107-85,Male,2006-03-05,active,GI2YFZH2TD,False,,,2025-10-17T00:00:00,ops_team,2025-10-23T18:13:34,maria,1057,17/10/2025,Pizza Grande Portuguesa,2,Pizza
2257,Thiago Barbosa,543.352.077-28,Male,1976-12-15,pending,1IDD8SKH2X,False,,,2025-10-29T00:00:00,ops_team,2025-11-09T15:09:24,import_script,1058,29/10/2025,Pudim de Leite,1,Sobremesa
2258,Luís Moraes,177.595.192-64,Male,1994-05-20,inactive,CX5HQ329YM,False,,,2025-10-27T00:00:00,data_engineer,2025-11-09T08:02:30,maria,1059,27/10/2025,Pizza Grande Margherita,3,Pizza
2259,Lucas Oliveira,883.138.593-21,Female,2002-08-20,pending,85CF7P18GY,False,,,2025-10-15T00:00:00,import_script,2025-10-16T18:13:38,maria,1060,15/10/2025,Pizza Frango com Catupiry,2,Pizza
2260,Mariana Moreira,119.270.208-55,Male,1998-01-10,inactive,K920YPLM9K,True,2025-08-26T06:05:09,system,2025-11-02T00:00:00,joao,2025-11-05T04:18:29,import_script,1061,02/11/2025,Pizza Grande Calabresa,1,Pizza
2261,Bruno Costa,104.260.990-37,Male,2000-03-24,inactive,PWKDS5V1K7,True,2025-11-06T00:56:24,system,2025-10-08T00:00:00,data_engineer,2025-10-27T19:36:01,maria,1062,08/10/2025,Sorvete Artesanal,1,Sobremesa
2262,Rafael Almeida,625.789.877-66,Male,1974-12-10,active,XO3VFW3NJU,True,2025-08-15T03:15:44,system,2025-10-15T00:00:00,maria,2025-10-19T15:37:58,data_engineer,1063,15/10/2025,Lasanha Bolonhesa,2,Massas
2263,Ana Pereira,645.335.691-79,Male,1960-10-22,inactive,UEPM69IU02,False,,,2025-10-26T00:00:00,joao,2025-10-31T12:55:02,import_script,1064,26/10/2025,Pizza Grande Portuguesa,1,Pizza
2264,Bruno Moreira,105.820.679-64,Male,1991-11-12,active,STG41DM4I8,False,,,2025-10-12T00:00:00,ops_team,2025-10-16T09:48:44,joao,1065,12/10/2025,Mousse de Chocolate,2,Sobremesa
2265,Gustavo Dias,422.109.835-76,Female,1980-07-27,active,RVUWVKVMDO,False,,,2025-10-31T00:00:00,data_engineer,2025-11-09T15:03:35,maria,1066,31/10/2025,Sorvete Artesanal,1,Sobremesa
2266,Fernanda Pereira,377.508.858-53,Male,1974-03-07,pending,001MUV38D4,False,,,2025-10-28T00:00:00,import_script,2025-11-09T15:30:08,joao,1067,28/10/2025,Pudim de Leite,2,Sobremesa
2267,Mariana Rocha,202.118.412-99,Male,1961-01-12,active,AQ3I3D10NT,False,,,2025-10-30T00:00:00,system,2025-11-09T14:47:47,system,1068,30/10/2025,Pizza Frango com Catupiry,1,Pizza
2268,Gustavo Lima,418.675.953-71,Male,1984-10-21,active,TM8AR5WQRS,False,,,2025-10-21T00:00:00,system,2025-11-08T00:02:52,data_engineer,1069,21/10/2025,Nhoque ao Sugo,2,Massas
2269,Mariana Cardoso,421.454.332-63,Female,1963-04-06,active,3I2KKV053E,False,,,2025-10-28T00:00:00,ops_team,2025-11-09T14:54:58,data_engineer,1070,28/10/2025,Pudim de Leite,3,Sobremesa
2270,Larissa Mendonça,829.228.349-48,Female,1965-09-04,pending,6T30B34QAP,False,,,2025-11-01T00:00:00,joao,2025-11-03T02:25:17,data_engineer,1071,01/11/2025,Nhoque ao Sugo,1,Massas
2271,Fernanda Souza,265.898.138-25,Female,1988-05-23,inactive,DSYA6LK06N,False,,,2025-10-18T00:00:00,ops_team,2025-11-01T21:55:42,system,1072,18/10/2025,Sorvete Artesanal,1,Sobremesa
2272,Larissa Lima,265.898.513-61,Female,1965-05-21,inactive,YWRISY966C,True,2025-11-06T08:23:54,maria,2025-10-28T00:00:00,joao,2025-10-28T12:19:52,data_engineer,1073,28/10/2025,Pudim de Leite,1,Sobremesa
2273,Bruno Souza,536.275.656-94,Male,1983-05-06,active,85AKUX93PQ,False,,,2025-10-29T00:00:00,joao,2025-11-09T15:05:02,import_script,1074,29/10/2025,Ravioli de Queijo,2,Massas
2274,Pedro Lima,417.025.654-80,Female,1987-06-03,active,R2GKKO9Y4I,False,,,2025-10-06T00:00:00,data_engineer,2025-10-06T02:08:01,joao,1075,06/10/2025,Tiramisu,3,Sobremesa
2275,João Teixeira,179.482.314-09,Female,1998-09-10,pending,JEUVUEKKKT,False,,,2025-10-30T00:00:00,data_engineer,2025-11-09T15:22:08,maria,1076,30/10/2025,Pizza Frango com Catupiry,1,Pizza
2276,Rafael Gomes,094.586.521-64,Female,1961-06-03,inactive,8TV2LT6UZ4,True,2025-10-13T21:18:39,system,2025-10-13T00:00:00,import_script,2025-10-14T10:44:17,import_script,1077,13/10/2025,Espaguete ao Alho e oleo,3,Massas
2277,Maria Lima,078.712.158-19,Male,1966-10-22,pending,RY1YQOW7CX,False,,,2025-10-30T00:00:00,import_script,2025-11-09T14:56:35,joao,1078,30/10/2025,Pizza Mussarela,1,Pizza
2278,Sofia Araujo,304.069.556-20,Male,1966-04-26,pending,UDT0HZ98VP,False,,,2025-10-12T00:00:00,maria,2025-10-12T01:07:15,import_script,1079,12/10/2025,Espaguete ao Alho e oleo,1,Massas
2279,Fernanda Mendonça,645.197.268-02,Male,2003-10-25,inactive,SD0HI8FJP0,False,,,2025-10-08T00:00:00,maria,2025-10-14T10:57:54,system,1080,08/10/2025,Nhoque ao Sugo,2,Massas
2280,Lucas Almeida,684.880.975-67,Female,1985-09-11,inactive,NX3QWNOXWW,False,,,2025-10-22T00:00:00,maria,2025-11-06T23:55:35,system,1081,22/10/2025,Ravioli de Queijo,3,Massas
2281,Larissa Pereira,916.832.813-94,Female,1974-12-23,pending,HLWLAX1S1P,False,,,2025-10-30T00:00:00,maria,2025-11-09T15:00:01,joao,1082,30/10/2025,Pizza Grande Calabresa,1,Pizza
2282,Patrícia Oliveira,015.381.436-04,Male,1971-06-20,pending,NH6WVXE1T3,True,2025-08-30T19:02:23,system,2025-10-29T00:00:00,system,2025-11-09T14:59:51,data_engineer,1083,29/10/2025,Espaguete ao Alho e oleo,2,Massas
2283,Ana Mendonça,548.654.871-95,Female,1963-01-23,pending,UUEU5ZNX05,False,,,2025-10-26T00:00:00,joao,2025-10-30T07:39:54,system,1084,26/10/2025,Nhoque ao Sugo,3,Massas
2284,Carlos Dias,585.759.924-36,Female,1965-07-15,pending,4CWYNJ7E85,True,2025-08-26T21:56:05,data_engineer,2025-10-18T00:00:00,import_script,2025-10-26T01:34:44,system,1085,18/10/2025,Espaguete ao Alho e oleo,2,Massas
2285,Camila Silva,540.629.081-56,Male,1977-06-14,active,JJJJ8A3MTS,False,,,2025-10-15T00:00:00,data_engineer,2025-10-28T06:37:28,joao,1086,15/10/2025,Mousse de Chocolate,2,Sobremesa
2286,Lucas Dias,855.857.300-71,Female,1992-02-15,active,IVB3KGOALR,False,,,2025-10-06T00:00:00,data_engineer,2025-10-31T03:10:21,maria,1087,06/10/2025,Pizza Grande Margherita,1,Pizza
2287,Camila Barbosa,476.958.463-49,Male,1981-06-18,active,5A6RZX9X7H,False,,,2025-10-15T00:00:00,joao,2025-10-18T14:13:26,data_engineer,1088,15/10/2025,Mousse de Chocolate,1,Sobremesa
2288,Mateus Moreira,315.968.925-31,Prefer not to say,1960-08-24,pending,CXZWO2GEZD,False,,,2025-10-28T00:00:00,import_script,2025-11-01T22:06:50,joao,1089,28/10/2025,Ravioli de Queijo,2,Massas
2289,Lucas Lima,840.939.270-38,Male,1962-04-24,pending,HHZJC8VSW9,False,,,2025-11-03T00:00:00,data_engineer,2025-11-09T15:30:18,import_script,1090,03/11/2025,Pudim de Leite,3,Sobremesa
2290,Maria Dias,970.602.054-25,Male,1989-05-18,pending,NQ2TDN2YAP,False,,,2025-10-17T00:00:00,data_engineer,2025-10-30T17:14:57,joao,1091,17/10/2025,Pizza Grande Portuguesa,2,Pizza
2291,Luís Teixeira,430.814.991-35,Male,1963-01-24,inactive,5PSNK1EI9F,True,2025-08-20T07:47:07,maria,2025-10-26T00:00:00,joao,2025-11-09T15:07:07,joao,1092,26/10/2025,Pudim de Leite,2,Sobremesa
2292,Mariana Moreira,113.623.165-68,Male,1958-01-27,active,BAM8C1SNA6,True,2025-10-16T17:29:06,import_script,2025-10-21T00:00:00,data_engineer,2025-11-04T05:56:29,joao,1093,21/10/2025,Pizza Frango com Catupiry,3,Pizza
2293,Rafael Almeida,337.465.399-23,Male,1970-08-10,inactive,JB1NOKRFR3,False,,,2025-10-13T00:00:00,joao,2025-11-09T15:21:10,ops_team,1094,13/10/2025,Mousse de Chocolate,1,Sobremesa
2294,Larissa Silva,884.407.504-56,Female,1962-12-10,active,J1B8SGKUO8,False,,,2025-10-16T00:00:00,data_engineer,2025-10-21T16:16:30,data_engineer,1095,16/10/2025,Espaguete ao Alho e oleo,3,Massas
2295,João Souza,336.807.853-99,Male,1995-08-09,active,E8WH5VC11J,True,2025-10-03T07:10:32,joao,2025-10-14T00:00:00,system,2025-10-29T18:54:57,ops_team,1096,14/10/2025,Lasanha Bolonhesa,2,Massas
2296,Pedro Souza,589.800.043-93,Female,1990-11-30,inactive,OYEJ8DW0H5,True,2025-08-15T15:11:46,system,2025-10-28T00:00:00,system,2025-11-09T14:45:50,ops_team,1097,28/10/2025,Nhoque ao Sugo,1,Massas
2297,Pedro Moreira,007.908.527-00,Male,1987-08-09,inactive,QCD8OBLSES,False,,,2025-10-23T00:00:00,joao,2025-11-09T15:29:41,maria,1098,23/10/2025,Pizza Grande Margherita,1,Pizza
2298,Mariana Fernandes,260.069.891-94,Female,1960-02-04,inactive,67IB5UTRWL,True,2025-09-16T19:33:59,joao,2025-10-09T00:00:00,system,2025-11-07T21:52:29,joao,1099,09/10/2025,Espaguete ao Alho e oleo,2,Massas
2299,Sofia Cardoso,821.685.234-19,Female,1974-08-23,active,84R4RPBWN1,False,,,2025-10-18T00:00:00,maria,2025-11-05T10:54:05,joao,1100,18/10/2025,Espaguete ao Alho e oleo,1,Massas
2300,Sofia Rocha,854.366.675-14,Male,1980-09-02,inactive,RBJNUXDH0Z,True,2025-08-29T04:02:29,data_engineer,2025-10-25T00:00:00,maria,2025-11-06T15:48:22,joao,1101,25/10/2025,Pizza Frango com Catupiry,3,Pizza
2301,Luís Oliveira,626.751.728-11,Male,1980-03-29,active,RRU2GPJAG7,True,2025-09-24T07:17:37,import_script,2025-10-30T00:00:00,data_engineer,2025-11-09T15:22:04,data_engineer,1102,30/10/2025,Tiramisu,3,Sobremesa
2302,Carlos Almeida,191.148.812-91,Prefer not to say,2001-01-30,inactive,NAOJSI58A3,False,,,2025-10-28T00:00:00,data_engineer,2025-11-09T15:04:36,import_script,1103,28/10/2025,Mousse de Chocolate,1,Sobremesa
2303,Ana Mendonça,608.018.368-91,Female,1962-01-03,inactive,POOVWHGOXW,False,,,2025-10-06T00:00:00,import_script,2025-10-13T02:50:16,maria,1104,06/10/2025,Pizza Frango com Catupiry,2,Pizza
2304,Beatriz Barbosa,330.368.366-76,Male,1975-03-29,pending,DEAD78HCE9,True,2025-10-10T21:13:21,ops_team,2025-10-28T00:00:00,maria,2025-11-04T18:04:23,data_engineer,1105,28/10/2025,Sorvete Artesanal,3,Sobremesa
2305,Pedro Santos,556.438.129-93,Male,1997-03-15,pending,89ZXT6PD43,True,2025-09-25T21:48:56,joao,2025-10-25T00:00:00,import_script,2025-11-05T12:51:03,system,1106,25/10/2025,Pizza Grande Calabresa,1,Pizza
2306,Larissa Almeida,972.877.171-89,Female,1959-03-28,inactive,BJIIMUB1H5,True,2025-10-12T17:25:56,data_engineer,2025-10-22T00:00:00,joao,2025-11-09T14:52:18,ops_team,1107,22/10/2025,Nhoque ao Sugo,2,Massas
2307,Gabriela Teixeira,859.344.273-18,Female,1978-09-03,inactive,4SABB07V3U,False,,,2025-10-31T00:00:00,import_script,2025-10-31T02:04:59,maria,1108,31/10/2025,Pudim de Leite,1,Sobremesa
2308,Carlos Santos,236.081.563-23,Male,1995-08-12,active,8PZYZ4EKLU,False,,,2025-10-12T00:00:00,joao,2025-10-24T06:58:47,system,1109,12/10/2025,Ravioli de Queijo,1,Massas
2309,Fernanda Pereira,998.335.601-93,Male,1973-11-02,inactive,C5BKPP1FD4,False,,,2025-10-26T00:00:00,maria,2025-11-09T14:45:31,system,1110,26/10/2025,Nhoque ao Sugo,2,Massas
2310,Lucas Dias,393.598.227-63,Male,1985-09-05,pending,OYS5M4KTUZ,True,2025-09-21T12:25:24,ops_team,2025-10-06T00:00:00,data_engineer,2025-10-14T06:18:03,joao,1111,06/10/2025,Pizza Mussarela,3,Pizza
2311,Gustavo Moraes,768.664.052-41,Female,1967-01-31,active,TK7D0YR5TF,False,,,2025-11-03T00:00:00,data_engineer,2025-11-09T15:04:11,ops_team,1112,03/11/2025,Pizza Grande Calabresa,2,Pizza
2312,Pedro Almeida,889.684.060-75,Female,1960-05-18,pending,7B3HX7TFS0,False,,,2025-10-31T00:00:00,system,2025-11-08T11:10:09,system,1113,31/10/2025,Pizza Grande Margherita,2,Pizza
2313,Camila Teixeira,790.523.954-85,Female,1992-01-03,active,E8CELLZC9C,False,,,2025-11-04T00:00:00,joao,2025-11-09T15:15:25,ops_team,1114,04/11/2025,Pizza Grande Calabresa,1,Pizza
2314,Patrícia Lima,281.218.789-82,Male,1973-03-16,pending,0ZY3GGAW9Y,True,2025-08-27T17:55:34,system,2025-10-28T00:00:00,data_engineer,2025-11-09T14:53:02,ops_team,1115,28/10/2025,Ravioli de Queijo,3,Massas
2315,Maria Santos,435.267.990-42,Female,1969-12-09,inactive,K7ZQHOVQ63,False,,,2025-10-30T00:00:00,system,2025-11-09T15:27:22,ops_team,1116,30/10/2025,Pizza Mussarela,1,Pizza
2316,Maria Silva,714.138.071-06,Female,2001-01-20,active,0PXBYMTZC2,True,2025-09-16T04:04:36,joao,2025-11-03T00:00:00,ops_team,2025-11-09T14:56:05,maria,1117,03/11/2025,Sorvete Artesanal,3,Sobremesa
2317,Bruno Costa,792.917.377-99,Male,1959-09-11,inactive,DFWFLWKRTV,True,2025-10-24T11:24:04,ops_team,2025-10-13T00:00:00,system,2025-10-30T00:44:37,maria,1118,13/10/2025,Pizza Mussarela,2,Pizza
2318,Beatriz Teixeira,684.066.975-58,Male,2004-02-29,active,36NPRTUANQ,False,,,2025-10-07T00:00:00,joao,2025-10-16T05:08:37,system,1119,07/10/2025,Ravioli de Queijo,3,Massas
